users_program,user_id,zip,membership_type,bike,checkout_date,checkout_time,checkout_kiosk,return_date,return_time,return_kiosk,duration_minutes
32091,Denver B-cycle,997996,80222.0,30-day Renewing (Denver B-cycle),514,10/31/15,2:27:00 PM,Denver Museum of Nature & Science,10/31/15,2:28:00 PM,Denver Museum of Nature & Science,1
32958,Denver B-cycle,621377,80218.0,Annual (Denver B-cycle),162,10/30/15,3:11:00 PM,17th & Downing,10/30/15,3:13:00 PM,17th & Franklin,2
33159,Denver B-cycle,855801,80202.0,30-day Renewing (Denver B-cycle),376,10/30/15,11:35:00 AM,1350 Larimer,10/30/15,11:44:00 AM,13th & Speer,9
33236,Denver B-cycle,20201,80209.0,Annual (Denver B-cycle),554,10/30/15,9:29:00 AM,11th & Delaware,10/30/15,9:37:00 AM,Market Street Station,8
33427,Denver B-cycle,351140,80218.0,Annual (Denver B-cycle),276,10/30/15,6:58:00 AM,9th & Logan,10/30/15,7:01:00 AM,12th & Sherman,3
33493,Denver B-cycle,439411,80203.0,Annual (Denver B-cycle),540,10/29/15,8:52:00 PM,9th & Santa Fe,10/29/15,9:02:00 PM,17th & Pearl,10
33685,Denver B-cycle,968352,80205.0,Annual (Denver B-cycle),133,10/29/15,5:21:00 PM,18th & Arapahoe,10/29/15,5:27:00 PM,Broadway & Walnut,6
33758,Denver B-cycle,157484,80202.0,Annual Plus (Denver B-cycle),715,10/29/15,4:56:00 PM,14th & Welton,10/29/15,5:00:00 PM,1350 Larimer,4
34028,Denver B-cycle,205783,80212.0,Annual (Denver B-cycle),930,10/29/15,12:54:00 PM,18th & Arapahoe,10/29/15,12:57:00 PM,17th & Blake,3
34616,Denver B-cycle,1011963,80221.0,Annual (Denver B-cycle),140,10/28/15,5:44:00 PM,16th & Little Raven,10/28/15,5:52:00 PM,32nd & Pecos,8
34631,Denver B-cycle,348421,80206.0,Annual (Denver B-cycle),424,10/28/15,5:36:00 PM,Cherry Creek Mall,10/28/15,5:39:00 PM,Cherry Creek Mall,3
34774,Denver B-cycle,458315,80218.0,Annual (Denver B-cycle),273,10/28/15,4:33:00 PM,11th & Emerson,10/28/15,4:38:00 PM,17th & Downing,5
34868,Denver B-cycle,45622,80203.0,Annual (Denver B-cycle),549,10/28/15,3:18:00 PM,16th & Broadway,10/28/15,3:23:00 PM,13th & Pearl,5
35462,Denver B-cycle,957452,80218.0,Annual (Denver B-cycle),614,10/27/15,8:24:00 PM,17th & Pearl,10/27/15,8:34:00 PM,13th & Marion,10
36122,Denver B-cycle,378906,80205.0,Annual (Denver B-cycle),637,10/27/15,9:51:00 AM,17th & Blake,10/27/15,10:01:00 AM,22nd & Pennsylvania,10
36231,Denver B-cycle,558267,80205.0,Annual Plus (Denver B-cycle),930,10/27/15,8:26:00 AM,Park Ave West & Tremont,10/27/15,8:40:00 AM,18th & Arapahoe,14
36391,Denver B-cycle,661757,80202.0,Annual (Denver B-cycle),42,10/27/15,6:41:00 AM,17th & Larimer,10/27/15,6:51:00 AM,18th & Arapahoe,10
36502,Denver B-cycle,615797,80202.0,Annual (Denver B-cycle),124,10/26/15,7:24:00 PM,17th & Race,10/26/15,7:34:00 PM,22nd & Pennsylvania,10
36749,Denver B-cycle,562459,80203.0,Annual (Denver B-cycle),40,10/26/15,4:48:00 PM,DU Driscoll Center,10/26/15,4:52:00 PM,Buchtel and High,4
